Date,Open,High,Low,Close,Volume,Adj Close
2016-08-22,10.58,10.63,10.08,10.13,103301600,10.13
2016-08-19,10.51,10.90,10.33,10.65,130684800,10.65
2016-08-18,10.50,10.85,10.47,10.54,117748600,10.54
2016-08-17,10.60,10.67,10.32,10.53,121191800,10.53
2016-08-16,10.71,11.07,10.61,10.68,173357800,10.68
2016-08-15,10.71,11.11,10.56,10.79,197162000,10.79
2016-08-12,10.56,10.78,10.44,10.70,156019500,10.70
2016-08-11,10.10,10.98,10.01,10.61,227821400,10.61
2016-08-10,10.46,10.54,10.19,10.20,124386200,10.20
2016-08-09,9.97,10.80,9.95,10.55,199452600,10.55
2016-08-08,10.00,10.14,9.85,10.00,87751800,10.00
2016-08-05,9.86,10.35,9.85,10.07,138788800,10.07
2016-08-04,9.92,10.25,9.81,9.95,128124100,9.95
2016-08-03,9.69,10.25,9.56,10.11,154719300,10.11
2016-08-02,9.55,9.76,9.51,9.71,59519500,9.71
2016-08-01,9.62,9.78,9.20,9.64,95133500,9.64
2016-07-29,10.00,10.08,9.66,9.71,98049700,9.71
2016-07-28,9.90,10.21,9.80,10.18,159882500,10.18
2016-07-27,10.50,10.61,9.70,10.00,255790600,10.00
2016-07-26,10.93,11.03,10.60,10.75,245096000,10.75
2016-07-25,10.15,11.12,10.01,11.11,338583900,11.11
2016-07-22,9.40,10.36,9.39,10.11,251113300,10.11
2016-07-21,9.45,9.62,9.38,9.46,105859600,9.46
2016-07-20,9.14,9.81,9.04,9.49,141527700,9.49
2016-07-19,9.20,9.20,9.06,9.14,40712000,9.14
2016-07-18,9.13,9.28,9.02,9.23,61045000,9.23
2016-07-15,9.31,9.36,9.15,9.18,46964500,9.18
2016-07-14,9.29,9.39,9.22,9.30,50710500,9.296
2016-07-13,9.30,9.42,9.26,9.31,66941500,9.306
2016-07-12,9.13,9.35,9.09,9.33,76566200,9.32599
2016-07-11,9.31,9.36,9.07,9.12,64205700,9.11608
2016-07-08,9.40,9.40,9.22,9.23,62437000,9.22603
2016-07-07,9.37,9.55,9.22,9.42,102078800,9.41595
2016-07-06,9.34,9.42,9.28,9.35,76930800,9.34598
2016-07-05,9.15,9.58,9.12,9.48,143028400,9.47592
2016-07-04,8.94,9.22,8.90,9.16,73208000,9.15606
2016-07-01,9.25,9.34,9.02,9.04,74448800,9.03611
2016-06-30,9.11,9.22,8.97,9.17,65375900,9.16606
2016-06-29,9.21,9.24,9.05,9.11,71615500,9.10608
2016-06-28,9.14,9.25,9.00,9.22,90049500,9.21603
2016-06-27,8.78,9.24,8.78,9.21,94580700,9.20604
2016-06-24,9.02,9.12,8.44,8.87,97006000,8.86618
2016-06-23,9.05,9.28,8.89,9.13,113223200,9.12607
2016-06-22,8.66,9.04,8.64,9.03,78228100,9.02612
2016-06-21,9.11,9.11,8.65,8.75,77973600,8.74624
2016-06-20,8.83,9.13,8.80,9.03,88954900,9.02612
2016-06-17,8.90,8.96,8.70,8.80,61911900,8.79622
2016-06-16,8.68,8.92,8.62,8.87,86095900,8.86618
2016-06-15,8.08,8.68,8.05,8.66,69034300,8.65628
2016-06-14,8.15,8.29,8.12,8.22,34267200,8.21646
2016-06-13,8.75,8.80,8.15,8.17,76132000,8.16649
2016-06-10,8.91,8.91,8.91,8.91,000,8.90617
2016-06-09,8.91,8.91,8.91,8.91,000,8.90617
2016-06-08,8.79,9.06,8.79,8.91,69745700,8.90617
2016-06-07,8.89,8.89,8.73,8.80,46716600,8.79622
2016-06-06,8.90,8.99,8.79,8.90,55273000,8.89617
2016-06-03,9.20,9.35,8.88,8.89,99210500,8.88618
2016-06-02,8.80,9.15,8.77,8.97,104156900,8.96614
2016-06-01,8.74,9.02,8.67,8.87,118141900,8.86618
2016-05-31,8.46,8.77,8.42,8.74,90902500,8.73624
2016-05-30,8.40,8.55,8.28,8.42,62949500,8.41638
2016-05-27,8.13,8.70,8.08,8.51,102436000,8.50634
2016-05-26,8.15,8.27,7.85,8.17,50065900,8.16649
2016-05-25,8.30,8.50,8.18,8.19,61122900,8.18648
2016-05-24,8.09,8.80,8.03,8.38,107169100,8.3764
2016-05-23,7.95,8.06,7.93,8.01,31009200,8.00656
2016-05-20,7.69,7.94,7.65,7.93,28819000,7.92659
2016-05-19,7.81,8.00,7.81,7.84,32899700,7.83663
2016-05-18,8.05,8.05,7.70,7.79,40488500,7.78665
2016-05-17,8.00,8.20,7.89,8.10,48433000,8.09652
2016-05-16,7.80,8.01,7.71,8.00,34605500,7.99656
2016-05-13,7.88,8.02,7.76,7.81,28946900,7.80664
2016-05-12,7.73,7.91,7.61,7.89,36441200,7.88661
2016-05-11,8.15,8.17,7.92,7.93,32787700,7.92659
2016-05-10,8.06,8.19,8.01,8.09,31039400,8.08652
2016-05-09,8.46,8.48,8.02,8.08,54477900,8.07652
2016-05-06,9.08,9.21,8.55,8.57,80805500,8.56631
2016-05-05,9.09,9.13,9.02,9.10,36498600,9.09609
2016-05-04,9.08,9.24,9.00,9.13,57382800,9.12607
2016-05-03,8.87,9.11,8.74,9.10,55104800,9.09609
2016-05-02,8.83,8.83,8.83,8.83,000,8.8262
2016-04-29,8.88,8.93,8.81,8.83,29252200,8.8262
2016-04-28,9.02,9.06,8.76,8.94,42827900,8.93615
2016-04-27,9.06,9.13,8.95,8.98,40519100,8.97614
2016-04-26,9.06,9.10,8.90,9.09,45392000,9.08609
2016-04-25,9.08,9.18,8.96,9.06,54710300,9.0561
2016-04-22,8.87,9.14,8.74,9.06,55077700,9.0561
2016-04-21,8.96,9.18,8.83,8.89,64507900,8.88618
2016-04-20,9.77,9.80,8.81,8.97,100291700,8.96614
2016-04-19,9.78,9.81,9.66,9.74,49012200,9.73581
2016-04-18,9.76,9.85,9.64,9.68,71488300,9.67584
2016-04-15,10.13,10.18,9.95,10.01,59185900,10.00569
2016-04-14,10.10,10.19,9.88,10.12,86969000,10.11565
2016-04-13,10.19,10.29,10.01,10.04,131443000,10.03568
2016-04-12,9.99,10.07,9.75,10.02,79833700,10.01569
2016-04-11,10.02,10.25,9.96,10.01,78246600,10.00569
2016-04-08,9.95,9.97,9.71,9.92,77349100,9.91573
